id,type,value
54d18c0a-c47c-4b4c-a987-083f5149dc23,size,P
e56dd237-db54-4fd8-b703-86d4b73fc318,size,M
9430b1f2-091a-4594-8ed9-b56581dbe547,size,G
6ae8b06a-5438-4fbd-93a6-ea84ddb911dc,size,GG
2dca2ac0-97f3-4b3d-9cda-40ad5358e878,category,Vestido
3c1516b3-7d0d-45e6-a8ff-d4a0d20c81d5,category,Cropped
58f3b9a1-8547-4710-885a-8db4168a2b2b,category,Regata
ef376744-acd5-4d59-a585-9272ef8ac463,category,Max
343b7326-266f-4806-8640-c162deb00867,category,Gola alta
692b3bc9-26dd-4a5b-8add-38567a5bd6c3,category,Muscle
0ed11cd8-d2c5-4200-b4e9-0dc21602816e,category,Tradicional 
